draw,task_a_t10_balanced_accuracy_delta,task_c_macro_f1_delta,task_c_brier_delta
475,-0.01666666667,-0.0659551012,0.0227130829
476,0.02159090909,-0.04783423725,0.02413550931
477,0.05582922824,-0.05754102924,0.02246143517
478,0.04701360142,-0.07285961458,0.02965436453
479,0.0964673913,-0.05709729041,0.02554711401
480,0.06770833333,-0.04846678445,0.0250339666
481,0.0199488491,-0.06172109199,0.02453638252
482,0.08854166667,-0.06013836871,0.02446822376
483,-0.009852216749,-0.04684636822,0.01976249916
484,0.007687758723,-0.07321665425,0.02844315253
485,0.08522727273,-0.04186559588,0.02422291694
486,0.02954545455,-0.05559873428,0.02527672884
487,0.004756871036,-0.0477944121,0.0232864527
488,0.2023270847,-0.04778719343,0.0230841534
489,0.1002811621,-0.05101179393,0.02506534324
490,-0.1311740891,-0.05349566247,0.02428821968
491,0.130575307,-0.05626028177,0.02210386452
492,-0.06021505376,-0.06396801106,0.02504589575
493,0.05060728745,-0.06203434836,0.02321801875
494,0.07029053421,-0.05419424086,0.02173396608
495,-0.01222826087,-0.05984387304,0.02706666272
496,-0.02003878474,-0.06687102369,0.02833976848
497,0.09099437148,-0.0516272362,0.02186650866
498,0.0178313253,-0.05553110905,0.03027245575
